id,user_id,role,created_at
"0a792b94-cb0c-407b-8139-77ec1d08bac9","8f658b59-e72e-41d6-8cbc-c5788bbeb01a","admin","2026-01-02T16:57:17.702648+00:00"
"d5427c58-83c5-4d5a-bb99-47b4fd5e86b6","463c44b8-b03d-4822-bc0d-4ea003a89d98","admin","2026-01-02T17:23:17.923397+00:00"
"43d8c71a-e533-4b19-9683-653033635325","414af294-e8f3-4741-a88e-f83f1e954b9e","admin","2026-01-05T13:47:05.338188+00:00"
"f9b03f04-8d5c-4005-a4c6-e81135bb6975","8d6f4099-1632-435b-a12b-85048ed48c8a","admin","2026-01-10T21:02:14.259087+00:00"
"f0b213c9-01f4-42ce-866e-30f39e4f04dd","a4309402-5fc2-433e-89e3-de72a8a27aec","admin","2026-01-16T19:46:35.971888+00:00"
"861c11f6-8ec8-452a-a252-df923e14f5b5","15931339-b5f1-4790-83f0-640f19d7fba3","admin","2026-01-26T11:12:51.880152+00:00"
"7eb59890-d807-4fda-b4fc-323088285cca","cc1945c8-29dd-4fc5-bf28-32abcbec91dc","admin","2026-01-26T11:13:02.400572+00:00"
"e5cc2fa4-b85e-40b5-90c5-95634f53e171","0d0fe9de-fed3-4b3d-b900-6b9fe22e5a2a","admin","2026-01-26T18:26:28.430805+00:00"
"f574ab9a-0491-498e-849b-b33daacbdc37","e291dc36-debd-429a-b55d-371f5a5b43d1","admin","2026-02-12T14:33:31.786172+00:00"
"af449eab-0281-4f28-b2fc-d6883b87f53a","12869fab-b2a9-4fdd-893a-29767d4113bd","admin","2026-02-12T14:33:33.098913+00:00"
"1bbc28f4-ff2a-470c-8a2d-79836e347f26","b217396d-b250-41ea-aa10-2523b9d1d020","user","2026-02-12T19:28:13.801608+00:00"
