id,user_id,tab_key,created_at
"c246e13a-cd48-4dc0-9d2a-658a437a6ae8","12869fab-b2a9-4fdd-893a-29767d4113bd","context","2026-02-12T12:57:44.694652+00:00"
"daae7622-aae1-4002-b6d6-bcf59d59b1cd","12869fab-b2a9-4fdd-893a-29767d4113bd","goals","2026-02-12T12:57:44.694652+00:00"
"2b829f85-8ab7-44d6-8b8f-7a0410d33992","12869fab-b2a9-4fdd-893a-29767d4113bd","marketing","2026-02-12T12:57:44.694652+00:00"
"157ff312-1403-4261-81fe-f67e128243c3","12869fab-b2a9-4fdd-893a-29767d4113bd","media","2026-02-12T12:57:44.694652+00:00"
"9548cff7-10fc-471f-848f-03fa90a984c7","12869fab-b2a9-4fdd-893a-29767d4113bd","monthly","2026-02-12T12:57:44.694652+00:00"
"cf25f025-2ef9-4140-b0b4-b9ecd36aef57","12869fab-b2a9-4fdd-893a-29767d4113bd","sales","2026-02-12T12:57:44.694652+00:00"
"63412192-2db2-49b2-a661-12d0cc68623e","12869fab-b2a9-4fdd-893a-29767d4113bd","structure","2026-02-12T12:57:44.694652+00:00"
"07f4f04b-f736-4f63-95f3-a20859e7c23a","15931339-b5f1-4790-83f0-640f19d7fba3","goals","2026-01-26T11:12:45.646395+00:00"
"b357ce8f-d9a3-41fb-bf1d-a4da1e965257","15931339-b5f1-4790-83f0-640f19d7fba3","media","2026-01-26T11:12:45.646395+00:00"
"a27d3a23-e6f0-43ac-b046-7d9c62634305","15931339-b5f1-4790-83f0-640f19d7fba3","sales","2026-01-26T11:12:45.646395+00:00"
"a8df766d-2966-4b04-a4da-718be7f0e929","414af294-e8f3-4741-a88e-f83f1e954b9e","context","2026-01-05T13:46:58.923474+00:00"
"f4715556-280b-4445-bb07-6ef56bf14ea8","414af294-e8f3-4741-a88e-f83f1e954b9e","goals","2026-01-05T13:46:58.923474+00:00"
"56e3e8ad-1807-415b-864e-516145ade181","414af294-e8f3-4741-a88e-f83f1e954b9e","marketing","2026-01-05T13:46:58.923474+00:00"
"c9d292b7-7be7-4818-9399-d7eb9cbe004d","414af294-e8f3-4741-a88e-f83f1e954b9e","media","2026-01-05T13:46:58.923474+00:00"
"1a84111a-0262-4904-bb51-81b2a9ad4bd5","414af294-e8f3-4741-a88e-f83f1e954b9e","monthly","2026-01-05T13:46:58.923474+00:00"
"e7185c22-12ed-4993-9612-b09a2b29157a","414af294-e8f3-4741-a88e-f83f1e954b9e","sales","2026-01-05T13:46:58.923474+00:00"
"42e08163-4a04-410a-863e-1e483820c80a","414af294-e8f3-4741-a88e-f83f1e954b9e","structure","2026-01-05T13:46:58.923474+00:00"
"ed8ca384-e6e2-46d1-be41-cbf53cb1001b","8d6f4099-1632-435b-a12b-85048ed48c8a","admin","2026-01-10T21:02:14.583492+00:00"
"78705cc1-8692-438f-bb35-2e036c7f2519","8d6f4099-1632-435b-a12b-85048ed48c8a","context","2026-01-10T21:02:14.313014+00:00"
"90812e8f-9839-4974-b770-540be158539d","8d6f4099-1632-435b-a12b-85048ed48c8a","goals","2026-01-10T21:02:14.356673+00:00"
"5079f88b-36e3-434a-af3b-2778a8997a15","8d6f4099-1632-435b-a12b-85048ed48c8a","indicators","2026-01-10T21:02:14.623503+00:00"
"0a3cca5b-f0fd-4c58-8dde-88907fa79449","8d6f4099-1632-435b-a12b-85048ed48c8a","marketing","2026-01-10T21:02:14.512618+00:00"
"9f9779f2-9d1f-45eb-99d2-f9221862e40d","8d6f4099-1632-435b-a12b-85048ed48c8a","media","2026-01-10T21:02:14.475125+00:00"
"5a2c50c1-4add-4747-b44f-d6cfe733a43c","8d6f4099-1632-435b-a12b-85048ed48c8a","monthly","2026-01-10T21:02:14.396157+00:00"
"d2f02990-35ee-4a1f-9e28-f46cc7650b8b","8d6f4099-1632-435b-a12b-85048ed48c8a","sales","2026-01-10T21:02:14.439613+00:00"
"080be3b4-6de7-4ee3-a571-10b43a26f817","8d6f4099-1632-435b-a12b-85048ed48c8a","structure","2026-01-10T21:02:14.551245+00:00"
"d37d6152-2956-4148-acc8-a016f0fd15cc","8f658b59-e72e-41d6-8cbc-c5788bbeb01a","context","2026-01-02T17:18:11.416252+00:00"
"5eec797e-b90b-40d2-8913-8d7f401116e8","8f658b59-e72e-41d6-8cbc-c5788bbeb01a","goals","2026-01-02T17:18:11.416252+00:00"
"fe83409b-dd4a-4d18-8d05-98c724dc8216","8f658b59-e72e-41d6-8cbc-c5788bbeb01a","marketing","2026-01-02T17:18:11.416252+00:00"
"714b736e-2d86-4e50-8c2a-68f4a063621b","8f658b59-e72e-41d6-8cbc-c5788bbeb01a","media","2026-01-02T17:18:11.416252+00:00"
"6ecdb00d-d397-4306-b621-1f6a2f1dd2bf","8f658b59-e72e-41d6-8cbc-c5788bbeb01a","monthly","2026-01-02T17:18:11.416252+00:00"
